id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
684639,3297466,la Nova Esquerra de l'Eixample,Private room,41.38584,2.14458,35.0,3,267,0.64,31,24.7,medium_term_room_rental,0,1
684643,3297466,la Nova Esquerra de l'Eixample,Private room,41.38527512062284,2.1469959661827978,28.0,3,319,0.15,31,27.6,medium_term_room_rental,0,1
688527,3515147,Provençals del Poblenou,Entire home/apt,41.40924,2.20118,127.0,1,293,2.71,3,56.0,commercial,1,2
688946,2907783,el Clot,Entire home/apt,41.40828,2.19255,171.0,1,327,1.75,3,57.9,commercial,1,2
689713,3522986,el Parc i la Llacuna del Poblenou,Private room,41.39181,2.18511,54.0,1,26,0.7,2,11.4,casual,0,0
694516,3019128,la Font d'en Fargues,Entire home/apt,41.42593,2.16748,64.0,1,20,0.4,31,41.0,medium_term_home_rental,0,1
698593,3454952,la Vila de Gràcia,Entire home/apt,41.40231757487323,2.1587574688632936,177.0,3,103,3.25,3,45.7,commercial,0,1
699920,3590196,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.38734,2.16448,257.0,18,344,0.87,3,59.8,commercial,1,2
700150,3590196,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.38686,2.16449,358.0,18,289,1.11,3,56.8,commercial,1,2
715036,3682696,el Poble Sec,Entire home/apt,41.37455,2.16669,127.0,1,194,2.63,4,50.6,commercial,1,2
721378,3724467,el Fort Pienc,Entire home/apt,41.39884,2.17697,302.0,12,191,0.14,3,51.1,commercial,1,2
721470,3724467,el Fort Pienc,Entire home/apt,41.39884,2.17697,231.0,12,250,0.73,3,54.3,commercial,1,2
721471,3724467,la Dreta de l'Eixample,Entire home/apt,41.39786,2.17583,240.0,12,230,0.54,1,53.2,commercial,1,2
721473,3724467,el Fort Pienc,Entire home/apt,41.39884,2.17697,249.0,12,219,0.03,3,52.6,commercial,1,2
721478,3724467,el Fort Pienc,Entire home/apt,41.39884,2.17697,309.0,12,227,1.24,3,53.1,commercial,1,2
721479,3724467,el Fort Pienc,Entire home/apt,41.39884,2.17697,309.0,12,212,1.25,3,52.2,commercial,1,2
721504,3724467,la Dreta de l'Eixample,Entire home/apt,41.39711,2.16921,259.0,12,182,0.2,1,50.6,commercial,0,1
721509,3724467,la Dreta de l'Eixample,Entire home/apt,41.39795,2.1703,250.0,12,233,0.54,3,53.4,commercial,1,2
721510,3724467,la Dreta de l'Eixample,Entire home/apt,41.39795,2.1703,229.0,12,213,0.05,3,52.3,commercial,1,2
721511,3724467,la Dreta de l'Eixample,Entire home/apt,41.39795,2.1703,265.0,12,209,1.55,3,52.1,commercial,1,2
721512,3724467,la Dreta de l'Eixample,Entire home/apt,41.39795,2.1703,265.0,12,224,0.04,3,52.9,commercial,1,2
722742,3548964,la Vila de Gràcia,Entire home/apt,41.39821,2.15489,163.0,1,173,2.04,5,49.5,commercial,0,1
723462,2748428,la Barceloneta,Entire home/apt,41.37955,2.18842,,8,38,0.03,32,42.4,medium_term_home_rental,0,1
